央 视,#genre#
CCTV-1,http://zycfcdn.gdwlcloud.comPLTV888888882243221225490index.m3u8
CCTV-2,http://zycfcdn.gdwlcloud.comPLTV888888882243221225612index.m3u8
CCTV-3,http://zycfcdn.gdwlcloud.comPLTV888888882243221225611index.m3u8
CCTV-4,http://zycfcdn.gdwlcloud.comPLTV888888882243221225610index.m3u8
CCTV-5,http://zycfcdn.gdwlcloud.comPLTV888888882243221225489index.m3u8
CCTV-5+,http://zycfcdn.gdwlcloud.comPLTV888888882243221225494index.m3u8
CCTV-6,http://zycfcdn.gdwlcloud.comPLTV888888882243221225609index.m3u8
CCTV-7,http://zycfcdn.gdwlcloud.comPLTV888888882243221226002index.m3u8
CCTV-8,http://zycfcdn.gdwlcloud.comPLTV888888882243221225492index.m3u8
CCTV-9,http://zycfcdn.gdwlcloud.comPLTV888888882243221225607index.m3u8
CCTV-10,http://zycfcdn.gdwlcloud.comPLTV888888882243221225606index.m3u8
CCTV-11,http://zycfcdn.gdwlcloud.comPLTV888888882243221225853index.m3u8
CCTV-12,http://zycfcdn.gdwlcloud.comPLTV888888882243221225605index.m3u8
CCTV-13,http://zycfcdn.gdwlcloud.comPLTV888888882243221226062index.m3u8
CCTV-14,http://zycfcdn.gdwlcloud.comPLTV888888882243221225604index.m3u8
CCTV-15,http://zycfcdn.gdwlcloud.comPLTV888888882243221225854index.m3u8
CCTV-16,http://zycfcdn.gdwlcloud.comPLTV888888882243221226095index.m3u8
CCTV-17,http://zycfcdn.gdwlcloud.comPLTV888888882243221225608index.m3u8
CHC家庭影院,http://zycfcdn.gdwlcloud.comPLTV888888882243221225927index.m3u8
央视台球,http://zycfcdn.gdwlcloud.comPLTV888888882243221226083index.m3u8
北京纪实科教,http://zycfcdn.gdwlcloud.comPLTV888888882243221226011index.m3u8
陕西新闻资讯,http://zycfcdn.gdwlcloud.comPLTV888888882243221225500index.m3u8
陕西都市青春,http://zycfcdn.gdwlcloud.comPLTV888888882243221225830index.m3u8
陕西西部电影,http://zycfcdn.gdwlcloud.comPLTV888888882243221226332index.m3u8
陕西生活,http://zycfcdn.gdwlcloud.comPLTV888888882243221226331index.m3u8
陕西影视,http://zycfcdn.gdwlcloud.comPLTV888888882243221226329index.m3u8
陕西公共,http://zycfcdn.gdwlcloud.comPLTV888888882243221226334index.m3u8
陕西体育休闲,http://zycfcdn.gdwlcloud.comPLTV888888882243221226093index.m3u8
西安新闻综合,http://zycfcdn.gdwlcloud.comPLTV888888882243221225668index.m3u8
陕西卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225498index.m3u8
农林卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221226335index.m3u8
湖北卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221226322index.m3u8
山东卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221226326index.m3u8
云南卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221226063index.m3u8
河南卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221226064index.m3u8
河北卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221226328index.m3u8
贵州卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225796index.m3u8
贵州卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225586index.m3u8
广东卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225589index.m3u8
天津卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225588index.m3u8
安徽卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225590index.m3u8
深圳卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225592index.m3u8
黑龙江卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225594index.m3u8
重庆卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225601index.m3u8
江西卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225599index.m3u8
吉林卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225598index.m3u8
辽宁卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225593index.m3u8
四川卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225600index.m3u8
北京卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225502index.m3u8
浙江卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225505index.m3u8
东方卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225503index.m3u8
湖南卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225506index.m3u8
江苏卫视,http://zycfcdn.gdwlcloud.comPLTV888888882243221225504index.m3u8
西安新闻综合,http://zycfcdn.gdwlcloud.comPLTV888888882243221225668index.m3u8
西安教育,http://zycfcdn.gdwlcloud.comPLTV888888882243221226015index.m3u8
西安教育,http://zycfcdn.gdwlcloud.comPLTV888888882243221226037index.m3u8
西安教育高清,http://zycfcdn.gdwlcloud.comPLTV888888882243221226014index.m3u8
长安一套,http://zycfcdn.gdwlcloud.comPLTV888888882243221225841index.m3u8
长安一套,http://zycfcdn.gdwlcloud.comPLTV888888882243221225896index.m3u8
高陵综合,http://zycfcdn.gdwlcloud.comPLTV888888882243221225836index.m3u8
高陵综合,http://zycfcdn.gdwlcloud.comPLTV888888882243221225920index.m3u8
高陵综合,http://zycfcdn.gdwlcloud.comPLTV888888882243221225970index.m3u8
高陵综合高清,http://zycfcdn.gdwlcloud.comPLTV888888882243221226338index.m3u8
鄠邑综合,http://zycfcdn.gdwlcloud.comPLTV888888882243221225839index.m3u8
鄠邑综合,http://zycfcdn.gdwlcloud.comPLTV888888882243221225919index.m3u8
鄠邑二套,http://zycfcdn.gdwlcloud.comPLTV888888882243221225851index.m3u8
鄠邑二套,http://zycfcdn.gdwlcloud.comPLTV888888882243221225969index.m3u8
